lga_code,lga_name,state,ivi_region
63810,Latrobe (M) (Tas.),TAS,North West TAS
64010,Launceston (C),TAS,Launceston and Northeast TAS
54970,Laverton (S),WA,Goldfields & Southern WA
14750,Leeton (A),NSW,Riverina & Murray
55040,Leonora (S),WA,Goldfields & Southern WA
43650,Light (RegC),SA,Adelaide
14850,Lismore (C),NSW,NSW North Coast
72300,Litchfield (M),NT,Regional NT
14870,Lithgow (C),NSW,Blue Mountains Bathurst & Central West
14900,Liverpool (C),NSW,Sydney
14920,Liverpool Plains (A),NSW,Tamworth and North West NSW
34530,Livingstone (S),QLD,Central QLD
14950,Lockhart (A),NSW,Riverina & Murray
34570,Lockhart River (S),QLD,Far North QLD
34580,Lockyer Valley (R),QLD,Toowoomba and South West QLD
23940,Loddon (S),VIC,Bendigo & High Country
34590,Logan (C),QLD,Gold Coast
34710,Longreach (R),QLD,Outback QLD
43710,Lower Eyre Peninsula (DC),SA,Port Augusta & Eyre Peninsula
43790,Loxton Waikerie (DC),SA,Fleurieu Peninsula & Murray Mallee
72330,MacDonnell (R),NT,Regional NT
24130,Macedon Ranges (S),VIC,Bendigo & High Country
34770,Mackay (R),QLD,Central QLD
15050,Maitland (C),NSW,Newcastle & Hunter
43920,Mallala (DC),SA,Adelaide
55110,Mandurah (C),WA,Perth
55180,Manjimup (S),WA,South West WA
24210,Manningham (C),VIC,Melbourne
24250,Mansfield (S),VIC,Bendigo & High Country
34830,Mapoon (S),QLD,Far North QLD
44000,Maralinga Tjarutja (AC),SA,Port Augusta & Eyre Peninsula
34860,Maranoa (R),QLD,Toowoomba and South West QLD
34880,Mareeba (S),QLD,Far North QLD
24330,Maribyrnong (C),VIC,Melbourne
44060,Marion (C),SA,Adelaide
24410,Maroondah (C),VIC,Melbourne
34800,McKinlay (S),QLD,Outback QLD
64210,Meander Valley (M),TAS,Launceston and Northeast TAS
55250,Meekatharra (S),WA,Pilbara & Kimberley
24600,Melbourne (C),VIC,Melbourne
24650,Melton (C),VIC,Melbourne
55320,Melville (C),WA,Perth
55390,Menzies (S),WA,Goldfields & Southern WA
55460,Merredin (S),WA,Goldfields & Southern WA
44210,Mid Murray (DC),SA,Fleurieu Peninsula & Murray Mallee
15240,Mid-Coast (A),NSW,NSW North Coast
15270,Mid-Western Regional (A),NSW,Blue Mountains Bathurst & Central West
24780,Mildura (RC),VIC,Wimmera & Western
55530,Mingenew (S),WA,Pilbara & Kimberley
44340,Mitcham (C),SA,Adelaide
24850,Mitchell (S),VIC,Bendigo & High Country
24900,Moira (S),VIC,Bendigo & High Country
24970,Monash (C),VIC,Melbourne
25060,Moonee Valley (C),VIC,Melbourne
55600,Moora (S),WA,Goldfields & Southern WA
25150,Moorabool (S),VIC,Ballarat & Central Highlands
55670,Morawa (S),WA,Pilbara & Kimberley
15300,Moree Plains (A),NSW,Tamworth and North West NSW
25250,Moreland (C),VIC,Melbourne
35010,Moreton Bay (R),QLD,Brisbane
35250,Mornington (S),QLD,Outback QLD
25340,Mornington Peninsula (S),VIC,Melbourne
15350,Mosman (A),NSW,Sydney
55740,Mosman Park (T),WA,Perth
25430,Mount Alexander (S),VIC,Bendigo & High Country
44550,Mount Barker (DC),SA,Fleurieu Peninsula & Murray Mallee
44620,Mount Gambier (C),SA,Fleurieu Peninsula & Murray Mallee
35300,Mount Isa (C),QLD,Outback QLD
55810,Mount Magnet (S),WA,Pilbara & Kimberley
55880,Mount Marshall (S),WA,Goldfields & Southern WA
44830,Mount Remarkable (DC),SA,Port Augusta & Eyre Peninsula
25490,Moyne (S),VIC,Geelong & Surf Coast
55950,Mukinbudin (S),WA,Goldfields & Southern WA
56090,Mundaring (S),WA,Perth
56160,Murchison (S),WA,Pilbara & Kimberley
56230,Murray (S),WA,Perth
45040,Murray Bridge (RC),SA,Fleurieu Peninsula & Murray Mallee
15520,Murray River (A),NSW,Riverina & Murray
25620,Murrindindi (S),VIC,Bendigo & High Country
15560,Murrumbidgee (A),NSW,Riverina & Murray
35600,Murweh (S),QLD,Toowoomba and South West QLD
15650,Muswellbrook (A),NSW,Newcastle & Hunter
15700,Nambucca (A),NSW,NSW North Coast
56300,Nannup (S),WA,South West WA
35670,Napranum (S),QLD,Far North QLD
45090,Naracoorte and Lucindale (DC),SA,Fleurieu Peninsula & Murray Mallee
56370,Narembeen (S),WA,Goldfields & Southern WA
15750,Narrabri (A),NSW,Tamworth and North West NSW
15800,Narrandera (A),NSW,Riverina & Murray
56460,Narrogin (S),WA,South West WA
15850,Narromine (A),NSW,Dubbo & Western NSW
56580,Nedlands (C),WA,Perth
15900,Newcastle (C),NSW,Newcastle & Hunter
56620,Ngaanyatjarraku (S),WA,Goldfields & Southern WA
25710,Nillumbik (S),VIC,Melbourne
35740,Noosa (S),QLD,Sunshine Coast
35760,North Burnett (R),QLD,Central QLD
15950,North Sydney (A),NSW,Sydney
56730,Northam (S),WA,Goldfields & Southern WA
56790,Northampton (S),WA,Pilbara & Kimberley
45120,Northern Areas (DC),SA,Yorke Peninsula & Clare Valley
15990,Northern Beaches (A),NSW,Sydney
25810,Northern Grampians (S),VIC,Wimmera & Western
64610,Northern Midlands (M),TAS,Launceston and Northeast TAS
35780,Northern Peninsula Area (R),QLD,Far North QLD
45290,Norwood Payneham St Peters (C),SA,Adelaide
56860,Nungarin (S),WA,Goldfields & Southern WA
16100,Oberon (A),NSW,Blue Mountains Bathurst & Central West
45340,Onkaparinga (C),SA,Adelaide
16150,Orange (C),NSW,Blue Mountains Bathurst & Central West
45400,Orroroo/Carrieton (DC),SA,Yorke Peninsula & Clare Valley
35790,Palm Island (S),QLD,Far North QLD
72800,Palmerston (C),NT,Darwin
16200,Parkes (A),NSW,Dubbo & Western NSW
35800,Paroo (S),QLD,Toowoomba and South West QLD
16260,Parramatta (C),NSW,Sydney
16350,Penrith (C),NSW,Blue Mountains Bathurst & Central West
56930,Peppermint Grove (S),WA,Perth
57000,Perenjori (S),WA,Pilbara & Kimberley
57080,Perth (C),WA,Perth
45540,Peterborough (DC),SA,Yorke Peninsula & Clare Valley
57140,Pingelly (S),WA,South West WA
57210,Plantagenet (S),WA,South West WA
45680,Playford (C),SA,Adelaide
36070,Pormpuraaw (S),QLD,Far North QLD
45890,Port Adelaide Enfield (C),SA,Adelaide
46090,Port Augusta (C),SA,Port Augusta & Eyre Peninsula
57280,Port Hedland (T),WA,Pilbara & Kimberley
46300,Port Lincoln (C),SA,Port Augusta & Eyre Peninsula
16380,Port Macquarie-Hastings (A),NSW,NSW North Coast
25900,Port Phillip (C),VIC,Melbourne
46450,Port Pirie City and Dists (M),SA,Yorke Peninsula & Clare Valley
16400,Port Stephens (A),NSW,Newcastle & Hunter
46510,Prospect (C),SA,Adelaide
25990,Pyrenees (S),VIC,Ballarat & Central Highlands
57350,Quairading (S),WA,Goldfields & Southern WA
16490,Queanbeyan-Palerang Regional (A),NSW,Southern Highlands & Snowy
26080,Queenscliffe (B),VIC,Geelong & Surf Coast
36150,Quilpie (S),QLD,Toowoomba and South West QLD
16550,Randwick (C),NSW,Sydney
57420,Ravensthorpe (S),WA,Goldfields & Southern WA
36250,Redland (C),QLD,Brisbane
46670,Renmark Paringa (DC),SA,Fleurieu Peninsula & Murray Mallee
36300,Richmond (S),QLD,Outback QLD
16610,Richmond Valley (A),NSW,NSW North Coast
46860,Robe (DC),SA,Fleurieu Peninsula & Murray Mallee
16650,Rockdale (C),NSW,Sydney
36370,Rockhampton (R),QLD,Central QLD
57490,Rockingham (C),WA,Perth
73600,Roper Gulf (R),NT,Regional NT
46970,Roxby Downs (M),SA,Port Augusta & Eyre Peninsula
16700,Ryde (C),NSW,Sydney
47140,Salisbury (C),SA,Adelaide
57630,Sandstone (S),WA,Pilbara & Kimberley
36510,Scenic Rim (R),QLD,Toowoomba and South West QLD
57700,Serpentine-Jarrahdale (S),WA,Perth
57770,Shark Bay (S),WA,Pilbara & Kimberley
16900,Shellharbour (C),NSW,Illawarra & South Coast
16950,Shoalhaven (C),NSW,Illawarra & South Coast
17000,Singleton (A),NSW,Newcastle & Hunter
17040,Snowy Monaro Regional (A),NSW,Southern Highlands & Snowy
17080,Snowy Valleys (A),NSW,Riverina & Murray
36580,Somerset (R),QLD,Toowoomba and South West QLD
64810,Sorell (M),TAS,Hobart & Southeast TAS
36630,South Burnett (R),QLD,Sunshine Coast
26170,South Gippsland (S),VIC,Gippsland
57840,South Perth (C),WA,Perth
36660,Southern Downs (R),QLD,Toowoomba and South West QLD
26260,Southern Grampians (S),VIC,Wimmera & Western
47290,Southern Mallee (DC),SA,Fleurieu Peninsula & Murray Mallee
65010,Southern Midlands (M),TAS,Hobart & Southeast TAS
57910,Stirling (C),WA,Perth
26350,Stonnington (C),VIC,Melbourne
26430,Strathbogie (S),VIC,Bendigo & High Country
17100,Strathfield (A),NSW,Sydney
47490,Streaky Bay (DC),SA,Port Augusta & Eyre Peninsula
57980,Subiaco (C),WA,Perth
36720,Sunshine Coast (R),QLD,Sunshine Coast
26490,Surf Coast (S),VIC,Geelong & Surf Coast
17150,Sutherland Shire (A),NSW,Sydney
58050,Swan (C),WA,Perth
26610,Swan Hill (RC),VIC,Wimmera & Western
17200,Sydney (C),NSW,Sydney
36820,Tablelands (R),QLD,Far North QLD
58190,Tammin (S),WA,Goldfields & Southern WA
17310,Tamworth Regional (A),NSW,Tamworth and North West NSW
65210,Tasman (M),TAS,Hobart & Southeast TAS
47630,Tatiara (DC),SA,Fleurieu Peninsula & Murray Mallee
47700,Tea Tree Gully (C),SA,Adelaide
17350,Temora (A),NSW,Riverina & Murray
17400,Tenterfield (A),NSW,Tamworth and North West NSW
47800,The Coorong (DC),SA,Fleurieu Peninsula & Murray Mallee
17420,The Hills Shire (A),NSW,Blue Mountains Bathurst & Central West
58260,Three Springs (S),WA,Pilbara & Kimberley
74050,Tiwi Islands (R),NT,Regional NT
58330,Toodyay (S),WA,Goldfields & Southern WA
36910,Toowoomba (R),QLD,Toowoomba and South West QLD
36950,Torres (S),QLD,Far North QLD
37010,Townsville (C),QLD,Far North QLD
26670,Towong (S),VIC,Bendigo & High Country
58400,Trayning (S),WA,Goldfields & Southern WA
47910,Tumby Bay (DC),SA,Port Augusta & Eyre Peninsula
17550,Tweed (A),NSW,NSW North Coast
99399,Unincorp. Other Territories,,
89399,Unincorporated ACT,ACT,Canberra & ACT
19399,Unincorporated NSW,NSW,Dubbo & Western NSW
79399,Unincorporated NT,NT,Regional NT
49399,Unincorporated SA,SA,Port Augusta & Eyre Peninsula
29399,Unincorporated Vic,VIC,Gippsland
47980,Unley (C),SA,Adelaide
58470,Upper Gascoyne (S),WA,Pilbara & Kimberley
17620,Upper Hunter Shire (A),NSW,Newcastle & Hunter
17640,Upper Lachlan Shire (A),NSW,Southern Highlands & Snowy
17650,Uralla (A),NSW,Tamworth and North West NSW
74550,VIC Daly (R),NT,Regional NT
58510,VIC Park (T),WA,Perth
58540,VIC Plains (S),WA,Goldfields & Southern WA
48050,Victor Harbor (C),SA,Fleurieu Peninsula & Murray Mallee
58570,Vincent (C),WA,Perth
74560,Wagait (S),NT,Regional NT
17750,Wagga Wagga (C),NSW,Riverina & Murray
58610,Wagin (S),WA,South West WA
48130,Wakefield (DC),SA,Yorke Peninsula & Clare Valley
17850,Walcha (A),NSW,Tamworth and North West NSW
17900,Walgett (A),NSW,Tamworth and North West NSW
48260,Walkerville (M),SA,Adelaide
58680,Wandering (S),WA,South West WA
26700,Wangaratta (RC),VIC,Bendigo & High Country
58760,Wanneroo (C),WA,Perth
65410,Waratah/Wynyard (M),TAS,North West TAS
58820,Waroona (S),WA,South West WA
17950,Warren (A),NSW,Dubbo & Western NSW
26730,Warrnambool (C),VIC,Geelong & Surf Coast
18020,Warrumbungle Shire (A),NSW,Dubbo & Western NSW
48340,Wattle Range (DC),SA,Fleurieu Peninsula & Murray Mallee
18050,Waverley (A),NSW,Sydney
18100,Weddin (A),NSW,Blue Mountains Bathurst & Central West
37300,Weipa (T),QLD,Far North QLD
26810,Wellington (S),VIC,Gippsland
18200,Wentworth (A),NSW,Riverina & Murray
74660,West Arnhem (R),NT,Regional NT
58890,West Arthur (S),WA,South West WA
65610,West Coast (M),TAS,North West TAS
74680,West Daly (R),NT,Regional NT
65810,West Tamar (M),TAS,Launceston and Northeast TAS
48410,West Torrens (C),SA,Adelaide
26890,West Wimmera (S),VIC,Wimmera & Western
37310,Western Downs (R),QLD,Toowoomba and South West QLD
18230,Western Plains Regional (A),NSW,Dubbo & Western NSW
59030,Westonia (S),WA,Goldfields & Southern WA
26980,Whitehorse (C),VIC,Melbourne
37340,Whitsunday (R),QLD,Central QLD
27070,Whittlesea (C),VIC,Melbourne
48540,Whyalla (C),SA,Port Augusta & Eyre Peninsula
59100,Wickepin (S),WA,South West WA
59170,Williams (S),WA,South West WA
18250,Willoughby (C),NSW,Sydney
59250,Wiluna (S),WA,Goldfields & Southern WA
18350,Wingecarribee (A),NSW,Southern Highlands & Snowy
37400,Winton (S),QLD,Outback QLD
27170,Wodonga (C),VIC,Bendigo & High Country
18400,Wollondilly (A),NSW,Southern Highlands & Snowy
18450,Wollongong (C),NSW,Illawarra & South Coast
59310,Wongan-Ballidu (S),WA,Goldfields & Southern WA
59320,Woodanilling (S),WA,South West WA
18500,Woollahra (A),NSW,Sydney
37550,Woorabinda (S),QLD,Central QLD
48640,Wudinna (DC),SA,Port Augusta & Eyre Peninsula
37570,Wujal Wujal (S),QLD,Far North QLD
59330,Wyalkatchem (S),WA,Goldfields & Southern WA
27260,Wyndham (C),VIC,Melbourne
59340,Wyndham-East Kimberley (S),WA,Pilbara & Kimberley
59350,Yalgoo (S),WA,Pilbara & Kimberley
48750,Yankalilla (DC),SA,Fleurieu Peninsula & Murray Mallee
27350,Yarra (C),VIC,Melbourne
27450,Yarra Ranges (S),VIC,Gippsland
37600,Yarrabah (S),QLD,Far North QLD
27630,Yarriambiack (S),VIC,Wimmera & Western
18710,Yass Valley (A),NSW,Southern Highlands & Snowy
59360,Yilgarn (S),WA,Goldfields & Southern WA
59370,York (S),WA,Goldfields & Southern WA
48830,Yorke Peninsula (DC),SA,Yorke Peninsula & Clare Valley
