degree_code,degree_label,SITC_code,SITC_label
TDRD,Medium-skill and technology-intensive manufactures,726,"Printing & bookbinding machinery, & parts thereof"
TDRD,Medium-skill and technology-intensive manufactures,727,Food-processing machines (excluding domestic)
TDRD,Medium-skill and technology-intensive manufactures,728,"Other machinery for particular industries, n.e.s."
TDRD,Medium-skill and technology-intensive manufactures,731,Machine-tools working by removing material
TDRD,Medium-skill and technology-intensive manufactures,733,"Mach.-tools for working metal, excluding removing mate."
TDRD,Medium-skill and technology-intensive manufactures,735,"Parts, n.e.s., & accessories for machines of 731, 733"
TDRD,Medium-skill and technology-intensive manufactures,737,Metalworking machinery (excludingmachine-tools) & parts
TDRD,Medium-skill and technology-intensive manufactures,741,"Heating & cooling equipment & parts thereof, n.e.s."
TDRD,Medium-skill and technology-intensive manufactures,742,Pumps for liquids
TDRD,Medium-skill and technology-intensive manufactures,743,"Pumps (excluding liquid), gas compressors & fans; centr."
TDRD,Medium-skill and technology-intensive manufactures,744,"Mechanical handling equipment, & parts, n.e.s."
TDRD,Medium-skill and technology-intensive manufactures,745,"Other non-electr. machinery, tools & mechan. appar."
TDRD,Medium-skill and technology-intensive manufactures,746,Ball or roller bearings
TDRD,Medium-skill and technology-intensive manufactures,747,"Appliances for pipes, boiler shells, tanks, vats, etc."
TDRD,Medium-skill and technology-intensive manufactures,748,Transmis. shafts
TDRD,Medium-skill and technology-intensive manufactures,749,"Non-electric parts & accessor. of machinery, n.e.s."
TDRD,Medium-skill and technology-intensive manufactures,771,"Electric power machinery, and parts thereof"
TDRD,Medium-skill and technology-intensive manufactures,773,"Equipment for distributing electricity, n.e.s."
TDRD,Medium-skill and technology-intensive manufactures,774,"Electro-diagnostic appa. for medical sciences, etc."
TDRD,Medium-skill and technology-intensive manufactures,778,"Electrical machinery & apparatus, n.e.s."
TDRD,Medium-skill and technology-intensive manufactures,781,Motor vehicles for the transport of persons
TDRD,Medium-skill and technology-intensive manufactures,782,"Motor vehic. for transport of goods, special purpo."
TDRD,Medium-skill and technology-intensive manufactures,783,"Road motor vehicles, n.e.s."
TDRD,Medium-skill and technology-intensive manufactures,784,"Parts & accessories of vehicles of 722, 781, 782, 783"
TDRD,Medium-skill and technology-intensive manufactures,811,Prefabricated buildings
TDRD,Medium-skill and technology-intensive manufactures,812,"Sanitary, plumbing, heating fixtures, fittings, n.e.s."
TDRD,Medium-skill and technology-intensive manufactures,813,"Lighting fixtures & fittings, n.e.s."
TDRD,Medium-skill and technology-intensive manufactures,893,"Articles, n.e.s., of plastics"
TDRD,Medium-skill and technology-intensive manufactures,894,"Baby carriages, toys, games & sporting goods"
TDRE,High-skill and technology-intensive manufactures,751,Office machines
TDRE,High-skill and technology-intensive manufactures,752,"Automatic data processing machines, n.e.s."
TDRE,High-skill and technology-intensive manufactures,761,"Television receivers, whether or not combined"
TDRE,High-skill and technology-intensive manufactures,762,"Radio-broadcast receivers, whether or not combined"
TDRE,High-skill and technology-intensive manufactures,763,Sound recorders or reproducers
TDRE,High-skill and technology-intensive manufactures,759,"Parts, accessories for machines of groups 751, 752"
TDRE,High-skill and technology-intensive manufactures,764,"Telecommunication equipment, n.e.s.; & parts, n.e.s."
TDRE,High-skill and technology-intensive manufactures,776,Cathode valves & tubes
